      AZ      EL   RANGE     LAT     LON     ALT  AP_LAT  AP_LON L_SHELL INV_LAT  ASPECT     CXR     CYR     CZR
 -120.00    6.00 1110.00   37.28  -81.99  207.51   47.38  -79.26    2.25   48.20  116.54    0.31   -0.84    0.45
 -120.00    6.00 1120.00   37.22  -82.07  210.20   47.34  -79.39    2.25   48.17  116.68    0.32   -0.84    0.45
 -120.00    6.00 1130.00   37.17  -82.16  212.90   47.31  -79.51    2.25   48.14  116.81    0.32   -0.83    0.45
 -120.00    6.00 1140.00   37.12  -82.24  215.62   47.28  -79.63    2.24   48.11  116.94    0.32   -0.83    0.45
 -120.00    6.00 1150.00   37.07  -82.32  218.35   47.25  -79.75    2.24   48.08  117.07    0.32   -0.83    0.46
 -120.00    6.00 1160.00   37.02  -82.41  221.09   47.22  -79.87    2.24   48.05  117.21    0.32   -0.83    0.46
 -120.00    6.00 1170.00   36.97  -82.49  223.85   47.19  -79.99    2.23   48.02  117.34    0.32   -0.83    0.46
 -120.00    6.00 1180.00   36.92  -82.57  226.62   47.16  -80.11    2.23   47.99  117.47    0.32   -0.83    0.46
 -120.00    6.00 1190.00   36.87  -82.66  229.41   47.13  -80.23    2.23   47.95  117.61    0.32   -0.83    0.46
 -120.00    6.00 1200.00   36.82  -82.74  232.21   47.10  -80.35    2.23   47.92  117.74    0.32   -0.83    0.47
 -120.00    6.00 1210.00   36.77  -82.82  235.03   47.07  -80.47    2.22   47.89  117.87    0.32   -0.82    0.47
 -120.00    6.00 1220.00   36.72  -82.90  237.86   47.04  -80.58    2.22   47.86  118.00    0.32   -0.82    0.47
 -120.00    6.00 1230.00   36.67  -82.99  240.70   47.01  -80.70    2.22   47.83  118.14    0.32   -0.82    0.47
 -120.00    6.00 1240.00   36.62  -83.07  243.55   46.97  -80.82    2.22   47.80  118.27    0.32   -0.82    0.47
 -120.00    6.00 1250.00   36.57  -83.15  246.42   46.94  -80.94    2.21   47.77  118.40    0.32   -0.82    0.48
